run_id,run_label,frame_index,measured,elapsed_measurement_s,capture_time_ms,detector_time_ms,landmarks_time_ms,control_time_ms,serial_time_ms,display_time_ms,inference_time_ms,pipeline_time_ms,total_frame_time_ms,fps,hand_detected,landmarks_found,hands_found,pose_sent,chosen_score,palm_y,wrist_phase,wrist_transition,candidate_elbow,candidate_wrist_rotation,current_elbow,current_wrist_rotation,ack,cpu_percent
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,19,0,0.000000,1.046721,16.145950,11.034677,11.535250,0.000000,4.751515,27.180627,39.762598,33.498010,29.852520,1,1,1,0,0.451960,276.179154,BOTTOM_ROTATED,,44,0,36,0,,11.6
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,20,0,0.000000,0.762073,15.723710,8.677678,9.158085,0.000000,4.736385,24.401388,34.321546,30.397753,32.897168,1,1,1,0,0.491507,262.039471,BOTTOM_ROTATED,,47,0,36,0,,6.8
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,21,0,0.000000,0.803666,16.205987,8.795956,9.235178,0.945426,4.639663,25.001943,35.986213,31.872975,31.374542,1,1,1,1,0.536703,255.748800,BOTTOM_ROTATED,,50,0,38,0,OK,8.3
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,22,0,0.000000,3.758423,18.897225,11.213973,11.710287,0.000000,5.005644,30.111198,45.579908,39.382802,25.391794,1,1,1,0,0.533878,246.261150,BOTTOM_ROTATED,,53,0,38,0,,9.4
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,23,0,0.000000,28.417496,16.241247,8.738974,9.199030,0.358370,4.686459,24.980221,62.955117,58.940083,16.966383,1,1,1,1,0.525404,239.688587,BOTTOM_ROTATED,,56,0,40,0,OK,5.4
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,24,0,0.000000,36.824786,17.830782,11.761658,12.339083,0.000000,4.740052,29.592440,78.756309,71.752147,13.936865,1,1,1,0,0.384166,230.449695,BOTTOM_ROTATED,,59,0,40,0,,6.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,25,0,0.000000,32.669233,13.783692,8.670456,9.089290,0.221167,4.727367,22.454148,64.433838,60.527008,16.521550,1,1,1,1,0.576249,224.989606,BOTTOM_ROTATED,,62,0,42,0,OK,4.2
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,26,0,0.000000,36.068175,15.084562,8.849345,9.262512,0.000000,4.548014,23.933907,69.264594,64.978486,15.389709,1,1,1,0,0.564950,219.889356,BOTTOM_ROTATED,,64,0,42,0,,7.4
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,27,0,0.000000,38.370488,14.250266,9.103234,9.518641,0.326203,4.711237,23.353500,71.568832,67.232632,14.873730,1,1,1,1,0.499981,211.787379,BOTTOM_ROTATED,,66,0,44,0,OK,2.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,28,0,0.000000,38.933395,20.047132,8.662030,9.096604,0.000000,5.225126,28.709162,76.739161,73.317683,13.639274,1,1,1,0,0.516929,206.094106,BOTTOM_ROTATED,,68,0,44,0,,5.3
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,29,0,0.000000,29.187310,14.573656,8.754160,9.178289,0.297555,5.727977,23.327816,61.990970,59.025860,16.941727,1,1,1,1,0.573424,199.197480,BOTTOM_ROTATED,,70,0,46,0,OK,3.4
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,30,0,0.000000,37.717174,15.041562,8.552790,8.949604,0.000000,4.610737,23.594352,70.261130,66.336929,15.074560,1,1,1,0,0.675115,190.255446,BOTTOM_ROTATED,,73,0,46,0,,5.5
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,31,1,0.000025,38.907580,14.252526,8.807511,9.214512,0.634055,4.592052,23.060037,71.816184,67.660316,14.779712,1,1,1,1,0.584723,186.482907,BOTTOM_ROTATED,,75,0,48,0,OK,3.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,32,1,0.064205,34.897954,14.599804,9.331974,9.781381,0.000000,4.590978,23.931778,68.611113,63.884727,15.653194,1,1,1,0,0.579074,175.933026,BOTTOM_ROTATED,,77,0,48,0,,6.2
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,33,1,0.134111,38.767470,15.877802,8.914233,9.320548,0.834351,4.628218,24.792035,73.714404,69.533167,14.381626,1,1,1,1,0.615796,168.902589,BOTTOM_ROTATED,,79,0,50,0,OK,2.9
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,34,1,0.200427,36.815341,15.303803,8.934122,9.324696,0.000000,4.567107,24.237925,70.377962,66.023559,15.146109,1,1,1,0,0.689239,161.392218,BOTTOM_ROTATED,,81,0,50,0,,5.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,35,1,0.265813,34.530454,14.079341,9.638677,10.064770,1.455092,4.839570,23.718018,69.768334,65.075874,15.366678,1,1,1,1,0.672291,159.454691,BOTTOM_ROTATED,,82,0,52,0,OK,5.8
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,36,1,0.331151,37.139397,14.108434,8.655937,9.045734,0.000000,4.727811,22.764371,68.949502,65.034504,15.376453,1,1,1,0,0.666641,160.470618,BOTTOM_ROTATED,,84,0,52,0,,4.8
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,37,1,0.400260,39.822913,14.003675,8.765308,9.161826,0.891037,4.774163,22.768983,72.644759,68.761594,14.543002,1,1,1,1,0.644043,158.226059,BOTTOM_ROTATED,,85,0,54,0,OK,3.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,38,1,0.463190,34.722565,14.522970,8.339142,8.720141,0.000000,4.580441,22.862112,66.304818,62.559598,15.984757,1,1,1,0,0.635569,156.867423,BOTTOM_ROTATED,,86,0,54,0,,5.8
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,39,1,0.534091,39.833098,13.947897,8.654085,9.046456,0.288000,7.060624,22.601982,71.769536,70.222037,14.240544,1,1,1,1,0.666641,155.845477,BOTTOM_ROTATED,,87,0,56,0,OK,5.8
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,40,1,0.600722,37.089008,14.784933,9.195697,9.575641,0.000000,4.787515,23.980630,70.645279,66.250892,15.094136,1,1,1,0,0.660992,152.086358,BOTTOM_ROTATED,,88,0,56,0,,5.5
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,41,1,0.664120,34.246343,14.427063,8.511808,8.904493,0.742963,4.658830,22.938871,66.832670,63.015339,15.869152,1,1,1,1,0.627095,151.278962,BOTTOM_ROTATED,,89,0,58,0,OK,5.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,42,1,0.732160,38.891636,14.805711,8.826234,9.236789,0.000000,4.687311,23.631945,71.760370,67.635818,14.785066,1,1,1,0,0.621445,151.849439,BOTTOM_ROTATED,,90,0,58,0,,3.9
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,43,1,0.803126,38.884395,17.165246,8.598882,8.993937,0.818129,4.654589,25.764128,74.460589,70.561555,14.172023,1,1,1,1,0.621445,147.054193,BOTTOM_ROTATED,,91,0,60,0,OK,6.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,44,1,0.864776,31.898567,15.806507,8.603863,8.987715,0.000000,4.562571,24.410370,65.296652,61.270285,16.321125,1,1,1,0,0.641218,144.530657,BOTTOM_ROTATED,,91,0,60,0,,4.3
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,45,1,0.933318,38.185340,15.414988,8.635105,9.029289,0.622500,4.812922,24.050093,71.887222,68.108539,14.682447,1,1,1,1,0.548002,145.140525,BOTTOM_ROTATED,,92,0,62,0,OK,3.7
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,46,1,0.999559,37.603711,14.462785,8.705252,9.082622,0.000000,4.773977,23.168037,69.854370,65.936763,15.166046,1,1,1,0,0.669466,143.509732,BOTTOM_ROTATED,,92,0,62,0,,6.5
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,47,1,1.064250,35.392175,14.060137,8.847234,9.231215,0.827555,4.706552,22.907371,68.358316,64.270042,15.559349,1,1,1,1,0.697713,143.213226,BOTTOM_ROTATED,,93,0,64,0,OK,3.0
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,48,1,1.134115,38.826599,16.256413,8.528030,8.904363,0.000000,5.428700,24.784443,72.515405,69.430501,14.402892,1,1,1,0,0.683590,142.950802,BOTTOM_ROTATED,,93,0,64,0,,6.9
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,49,1,1.200063,36.904268,14.282377,9.001104,9.403104,0.347777,4.523478,23.283481,69.938630,65.564356,15.252190,1,1,1,1,0.669466,142.380009,BOTTOM_ROTATED,,94,0,66,0,OK,2.1
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,50,1,1.265570,35.080047,15.779044,8.724586,9.109937,0.000000,5.150866,24.503630,68.693614,65.133116,15.353173,1,1,1,0,0.644043,145.044369,BOTTOM_ROTATED,,94,0,66,0,,6.5
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,51,1,1.334006,37.492656,16.391321,8.311808,8.670586,0.959111,4.563366,24.703129,71.825482,68.179336,14.667201,1,1,1,1,0.581875,154.237606,BOTTOM_ROTATED,,94,0,68,0,OK,3.9
